product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,commodo vulputate justo in,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",340.29,14.74,clothing,Avaveo,656,Maroon,extra large,0.2,2013-06-26,3.8,683,sed,2.5,923,express,27.61
2,accumsan tortor quis turpis,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",792.07,34.07,home decor,Skilith,212,Blue,large,9.4,2012-06-14,3.9,908,enim blandit mi in porttitor pede,4.3,482,free,21.05
3,eget vulputate ut,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",858.2,44.46,clothing,Teklist,746,Mauv,medium,1.5,2011-12-14,2.1,125,pulvinar lobortis est phasellus,1.0,32,standard,1.3
4,tortor sollicitudin,Phasellus in felis. Donec semper sapien a libero.,255.09,4.67,clothing,Photobug,608,Green,large,9.0,2021-06-03,2.1,145,elit sodales scelerisque mauris sit amet,3.6,385,express,11.79
5,cras non velit nec,In hac habitasse platea dictumst.,301.08,1.24,toys,Divanoodle,919,Violet,large,5.1,2019-08-09,4.1,268,odio elementum,2.8,573,standard,18.45
6,cubilia curae duis faucibus,Proin eu mi. Nulla ac enim.,174.78,19.17,clothing,Skajo,959,Teal,large,3.1,2010-11-16,2.7,76,feugiat et,4.9,306,free,14.67
7,nulla suspendisse potenti,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",478.79,44.96,electronics,Tekfly,300,Green,medium,1.9,2016-10-25,1.4,258,nulla ac,1.4,458,standard,24.51
8,nulla tempus vivamus,Etiam justo. Etiam pretium iaculis justo.,432.97,41.8,electronics,BlogXS,125,Crimson,small,4.1,2015-06-04,1.9,813,eget eleifend luctus ultricies,2.2,309,standard,43.69
9,sit amet,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",265.3,24.49,electronics,Yakidoo,971,Violet,extra large,2.2,2021-05-27,2.5,914,sapien,2.8,12,standard,12.93
10,hac habitasse,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",404.15,11.64,electronics,Mybuzz,143,Crimson,small,1.9,2011-11-09,4.2,381,in hac habitasse,1.9,944,standard,15.25
11,elit proin,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",212.56,26.07,electronics,Skimia,778,Blue,medium,8.5,2014-01-06,4.7,465,sapien,4.4,173,free,3.53
12,nascetur ridiculus mus vivamus,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,769.7,18.16,toys,Cogilith,964,Turquoise,extra large,0.3,2017-02-07,3.0,996,velit nec nisi vulputate,4.9,460,free,30.22
13,metus vitae,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,548.12,1.3,beauty,Meevee,78,Purple,small,6.5,2013-09-19,4.3,306,nam ultrices,1.9,932,express,40.34
14,amet justo morbi ut,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",99.35,22.6,clothing,Wordware,364,Pink,extra large,7.5,2011-10-28,4.0,204,consequat ut nulla sed accumsan,4.6,86,free,42.91
15,urna pretium,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,51.86,3.91,toys,Yacero,76,Indigo,small,4.0,2017-06-13,2.8,627,sed,1.0,759,express,25.91
16,pellentesque volutpat dui,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",476.02,47.62,home decor,Layo,907,Purple,small,2.1,2015-11-02,4.1,26,et,2.0,601,standard,18.35
17,aliquam quis,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",60.75,5.77,home decor,Blognation,379,Green,small,7.9,2019-02-25,3.6,407,vel,2.0,144,express,1.59
18,sit amet,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,952.38,33.0,electronics,Fadeo,751,Yellow,small,7.2,2014-06-28,1.4,278,aliquam,3.3,907,standard,12.08
19,vulputate elementum nullam varius,Pellentesque at nulla. Suspendisse potenti.,4.87,49.52,beauty,Skiptube,38,Maroon,large,0.8,2020-01-16,4.2,473,auctor gravida sem praesent id massa,1.2,663,free,25.03
